Time:	Direct:	Amplified:
74154	25.246124	25.294617
74254	25.33429	25.312225
74367	25.246124	25.329895
74467	25.33429	25.338715
74568	25.422516	25.303436
74684	25.33429	25.312225
74801	25.33429	25.321075
74918	25.33429	25.312225
75034	25.246124	25.303436
75134	25.246124	25.285797
75248	25.246124	25.276978
75348	25.246124	25.268158
75448	25.15802	25.250519
75549	25.246124	25.2417
75665	25.15802	25.23291
75781	25.246124	25.22409
75881	25.15802	25.215271
75981	25.15802	25.197662
76081	25.15802	25.197662
76182	25.15802	25.180023
76290	25.15802	25.180023
76397	25.15802	25.162384
76512	25.15802	25.153595
76612	25.15802	25.144775
76713	25.15802	25.135986
76813	25.15802	25.127167
76930	25.069946	25.118347
77046	25.069946	25.109558
77147	25.069946	25.109558
77264	25.069946	25.09195
77380	25.069946	25.08316
77481	25.069946	25.08316
77581	25.069946	25.07434
77697	25.069946	25.065521
77797	25.069946	25.056732
77898	25.069946	25.047913
77998	24.981903	25.039124
78114	24.981903	25.039124
78215	24.981903	25.030334
78315	24.981903	25.021545
78421	24.981903	25.021545
78537	24.981903	25.012726
78637	24.981903	25.003906
78738	24.981903	24.995117
78854	24.981903	24.995117
78954	24.981903	24.986328
79055	24.893982	24.97754
79155	24.893982	24.97754
79271	24.981903	24.96872
79371	24.893982	24.96872
79472	24.893982	24.95993
79573	24.893982	24.95993
79689	24.893982	24.942322
79789	24.893982	24.942322
79891	24.893982	24.942322
80007	24.893982	24.933533
80107	24.893982	24.924744
80208	24.893982	24.924744
80323	24.893982	24.915955
80425	24.893982	24.915955
80525	24.893982	24.907135
80641	24.893982	24.898346
80757	24.893982	24.898346
80857	24.893982	24.889557
80958	24.893982	24.889557
81074	24.893982	24.880768
81174	24.80606	24.880768
81275	24.80606	24.871979
81380	24.80606	24.871979
81480	24.80606	24.86319
81580	24.893982	24.86319
81695	24.80606	24.86319
81796	24.80606	24.8544
81897	24.80606	24.845612
82013	24.80606	24.845612
82113	24.80606	24.836823
82214	24.80606	24.836823
82331	24.80606	24.828033
82448	24.80606	24.828033
82564	24.80606	24.819244
82681	24.80606	24.819244
82798	24.80606	24.810455
82915	24.80606	24.810455
83015	24.80606	24.801666
83115	24.80606	24.801666
83216	24.80606	24.792877
83331	24.80606	24.792877
83431	24.7182	24.792877
83532	24.7182	24.784088
83632	24.7182	24.784088
83732	24.7182	24.784088
83848	24.7182	24.7753
83948	24.7182	24.7753
84048	24.7182	24.76651
84148	24.7182	24.76651
84248	24.7182	24.76651
84348	24.7182	24.75772
84448	24.7182	24.75772
84548	24.7182	24.748962
84648	24.7182	24.748962
84749	24.7182	24.748962
84864	24.7182	24.748962
84964	24.7182	24.740143
85064	24.7182	24.740143
85181	24.7182	24.731384
85281	24.7182	24.731384
85388	24.7182	24.731384
85504	24.7182	24.731384
85620	24.7182	24.722595
85721	24.7182	24.722595
85821	24.7182	24.713806
85937	24.630402	24.713806
86052	24.7182	24.713806
86153	24.7182	24.713806
86269	24.7182	24.705017
86370	24.7182	24.705017
86470	24.630402	24.696259
86570	24.7182	24.696259
86687	24.630402	24.696259
86803	24.630402	24.696259
86904	24.630402	24.696259
87012	24.630402	24.68747
87113	24.630402	24.68747
87229	24.630402	24.68747
87329	24.630402	24.67871
87429	24.630402	24.68747
87545	24.630402	24.67871
87645	24.630402	24.67871
87745	24.630402	24.67871
87845	24.630402	24.67871
87945	24.630402	24.67871
88062	24.630402	24.669891
88162	24.630402	24.669891
88262	24.630402	24.669891
88363	24.630402	24.669891
88464	24.630402	24.669891
88564	24.630402	24.661133
88680	24.630402	24.661133
88780	24.630402	24.661133
88883	24.630402	24.661133
88983	24.630402	24.661133
89099	24.630402	24.661133
89199	24.630402	24.652344
89299	24.630402	24.652344
89416	24.630402	24.652344
89532	24.630402	24.652344
89632	24.630402	24.652344
89733	24.630402	24.643585
89848	24.630402	24.643585
89949	24.630402	24.643585
90049	24.630402	24.643585
90150	24.630402	24.634796
90250	24.630402	24.634796
90355	24.630402	24.634796
90455	24.630402	24.634796
90571	24.630402	24.634796
90671	24.630402	24.634796
90771	24.630402	24.634796
90888	24.630402	24.626007
91004	24.630402	24.626007
91104	24.630402	24.626007
91204	24.630402	24.626007
91305	24.630402	24.626007
91420	24.542633	24.626007
91521	24.630402	24.617218
91621	24.630402	24.617218
91721	24.630402	24.617218
91838	24.630402	24.617218
91954	24.542633	24.617218
92055	24.630402	24.617218
92172	24.542633	24.617218
92288	24.630402	24.60846
92388	24.630402	24.60846
92488	24.630402	24.60846
92603	24.542633	24.60846
92704	24.542633	24.60846
92805	24.542633	24.60846
92906	24.542633	24.59967
93022	24.542633	24.60846
93123	24.542633	24.59967
93223	24.542633	24.59967
93340	24.542633	24.59967
93449	24.542633	24.59967
93565	24.542633	24.59967
93665	24.542633	24.59967
93766	24.542633	24.59967
93866	24.630402	24.590912
93967	24.542633	24.590912
94083	24.542633	24.590912
94183	24.542633	24.590912
94283	24.542633	24.590912
94385	24.542633	24.590912
94488	24.542633	24.590912
94604	24.542633	24.582123
94704	24.542633	24.590912
94805	24.542633	24.590912
94921	24.542633	24.590912
95022	24.542633	24.582123
95139	24.542633	24.582123
95255	24.542633	24.582123
95357	24.542633	24.582123
95458	24.542633	24.582123
95571	24.542633	24.582123
95672	24.542633	24.582123
95773	24.542633	24.582123
95874	24.542633	24.582123
95989	24.542633	24.573334
96090	24.542633	24.573334
96190	24.542633	24.573334
96291	24.542633	24.582123
96406	24.542633	24.573334
96508	24.542633	24.573334
96609	24.542633	24.573334
96726	24.542633	24.573334
96826	24.542633	24.573334
96942	24.542633	24.573334
97043	24.542633	24.573334
97143	24.542633	24.564575
97260	24.542633	24.564575
97361	24.542633	24.564575
97461	24.542633	24.564575
97561	24.542633	24.564575
97672	24.542633	24.564575
97789	24.542633	24.564575
97889	24.542633	24.564575
97990	24.542633	24.564575
98090	24.542633	24.555817
98206	24.542633	24.555817
98307	24.542633	24.555817
98424	24.542633	24.555817
98524	24.542633	24.555817
98640	24.542633	24.555817
98752	24.542633	24.555817
98852	24.542633	24.555817
98952	24.542633	24.555817
99068	24.542633	24.555817
99169	24.542633	24.547028
99269	24.542633	24.555817
99369	24.542633	24.547028
99486	24.542633	24.547028
99586	24.542633	24.547028
99702	24.542633	24.547028
99812	24.542633	24.547028
99928	24.542633	24.547028
100028	24.542633	24.547028
100144	24.542633	24.547028
100244	24.542633	24.547028
100345	24.454956	24.547028
100445	24.542633	24.547028
100561	24.542633	24.538269
100661	24.542633	24.538269
100761	24.542633	24.538269
100866	24.542633	24.538269
100982	24.454956	24.547028
101082	24.542633	24.538269
101198	24.454956	24.538269
101299	24.542633	24.538269
101402	24.542633	24.538269
101503	24.542633	24.538269
101620	24.542633	24.538269
101736	24.454956	24.538269
101851	24.454956	24.538269
101958	24.542633	24.52948
102059	24.542633	24.538269
102159	24.542633	24.538269
102259	24.542633	24.52948
102376	24.542633	24.52948
102492	24.542633	24.52948
102592	24.454956	24.52948
102708	24.454956	24.52948
102809	24.542633	24.52948
102917	24.542633	24.52948
103026	24.454956	24.52948
103142	24.454956	24.52948
103243	24.454956	24.52948
103360	24.454956	24.52948
103475	24.454956	24.520721
103576	24.454956	24.52948
103676	24.454956	24.520721
103776	24.454956	24.520721
103879	24.454956	24.520721
103979	24.454956	24.520721
104079	24.454956	24.520721
104194	24.454956	24.520721
